name,lastPlayed,proballersLink,flashscoreLink
Daniel Saylor,2023-10-01,https://www.proballers.com/basketball/player/299774/daniel-saylor,https://www.flashscore.com/player/saylor-daniel/rXu7Cxy3/
Shane Gatling,2023-10-01,https://www.proballers.com/basketball/player/191323/shane-gatling,https://www.flashscore.com/player/gatling-shane/pKdNd7pK/
